date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-09-30,Bundesliga,Matchweek 6,Away,W,2,0,Köln,2.5,0.7,60.0,18.0,4.0,0.0,0,0,Stuttgart
2023-10-07,Bundesliga,Matchweek 7,Home,W,3,1,Wolfsburg,2.7,1.2,59.0,13.0,7.0,0.0,1,1,Stuttgart
2023-10-21,Bundesliga,Matchweek 8,Away,W,3,0,Union Berlin,1.4,0.6,57.0,10.0,5.0,0.0,0,0,Stuttgart
2023-10-28,Bundesliga,Matchweek 9,Home,L,2,3,Hoffenheim,3.6,1.7,73.0,22.0,9.0,0.0,0,1,Stuttgart
2023-10-31,DFB-Pokal,Round of 32,Home,W,1,0,Union Berlin,,,62.0,16.0,3.0,,0,0,Stuttgart
2023-11-05,Bundesliga,Matchweek 10,Away,L,0,2,Heidenheim,2.6,1.2,68.0,16.0,1.0,2.0,0,1,Stuttgart
2023-11-11,Bundesliga,Matchweek 11,Home,W,2,1,Dortmund,4.2,1.0,59.0,20.0,8.0,0.0,1,2,Stuttgart
2023-11-25,Bundesliga,Matchweek 12,Away,W,2,1,Eint Frankfurt,2.3,0.9,43.0,11.0,4.0,0.0,0,0,Stuttgart
2023-12-02,Bundesliga,Matchweek 13,Home,W,2,0,Werder Bremen,3.5,0.8,58.0,18.0,5.0,0.0,1,1,Stuttgart
2023-12-06,DFB-Pokal,Round of 16,Home,W,2,0,Dortmund,,,54.0,17.0,7.0,,0,0,Stuttgart
2023-12-10,Bundesliga,Matchweek 14,Home,D,1,1,Leverkusen,2.6,1.3,52.0,22.0,10.0,1.0,0,0,Stuttgart
2023-12-17,Bundesliga,Matchweek 15,Away,L,0,3,Bayern Munich,0.4,2.8,62.0,6.0,2.0,0.0,0,0,Stuttgart
2023-12-20,Bundesliga,Matchweek 16,Home,W,3,0,Augsburg,2.6,0.2,66.0,17.0,8.0,0.0,0,0,Stuttgart
2024-01-14,Bundesliga,Matchweek 17,Away,L,1,3,Gladbach,0.9,1.9,71.0,15.0,2.0,2.0,0,0,Stuttgart
2024-01-20,Bundesliga,Matchweek 18,Away,L,0,1,Bochum,1.4,0.9,62.0,19.0,5.0,0.0,0,0,Stuttgart
2024-01-27,Bundesliga,Matchweek 19,Home,W,5,2,RB Leipzig,2.2,0.4,54.0,17.0,8.0,0.0,1,1,Stuttgart
2024-02-03,Bundesliga,Matchweek 20,Away,W,3,1,Freiburg,1.7,0.7,65.0,17.0,9.0,0.0,0,0,Stuttgart
2024-02-06,DFB-Pokal,Quarter-finals,Away,L,2,3,Leverkusen,,,44.0,11.0,5.0,,0,0,Stuttgart
2024-02-11,Bundesliga,Matchweek 21,Home,W,3,1,Mainz 05,1.9,1.4,61.0,11.0,7.0,0.0,0,0,Stuttgart
2024-02-17,Bundesliga,Matchweek 22,Away,W,2,1,Darmstadt 98,1.6,1.7,43.0,14.0,4.0,0.0,0,0,Stuttgart
